,Compound,Negative,Neutral,Positive,Time Stamp,Tweet Text,Tweets Ago,Twitter Handle,User
39,-0.12498499999999998,0.8085000000000001,0.1351,0.056400000000000006,Tue Sep 11 10:46:37 +0000 2018,Didi Chuxing: China carpool service suspended indefinitely https://t.co/zwLuAKBrDO,39,@BBCWorld,BBCWorld
40,-0.1152731707317073,0.809658536585366,0.13304878048780489,0.05729268292682927,Tue Sep 11 15:11:47 +0000 2018,"RT @VictoriaLIVE: She didn’t win the Miss America pageant, but stole the show with this 8-second statement:

“From the state with 84% of th…",40,@BBCWorld,BBCWorld
41,-0.11252857142857142,0.8141904761904764,0.12988095238095237,0.05592857142857143,Tue Sep 11 15:01:11 +0000 2018,"RT @bbctms: Rishabh Pant is the youngest man to score a Test century for India since Ajay Ratra did it back in May 2002. 

Live: 
📻📱💻🎥 http…",41,@BBCWorld,BBCWorld
42,-0.10991162790697673,0.8185116279069768,0.12686046511627908,0.05462790697674419,Tue Sep 11 14:59:02 +0000 2018,"""This field is now a monument to American defiance... America will never ever submit to tyranny"" - President Trump… https://t.co/VgnzZ4gySS",42,@BBCWorld,BBCWorld
43,-0.10974772727272725,0.8188409090909091,0.12777272727272726,0.05338636363636364,Tue Sep 11 14:58:35 +0000 2018,Russia's Navalny challenged to a duel by Zolotov https://t.co/3rMY5SuObE,43,@BBCWorld,BBCWorld
44,-0.1228711111111111,0.8176666666666667,0.13013333333333332,0.0522,Tue Sep 11 14:57:03 +0000 2018,"“We grieve together for every mother and father, sister and brother, son and daughter who was stolen from us” - Pre… https://t.co/eHmjkBRc46",44,@BBCWorld,BBCWorld
45,-0.1313,0.8152826086956522,0.13365217391304346,0.05106521739130435,Tue Sep 11 14:21:38 +0000 2018,US official: Venezuela government 'steals from food programme' https://t.co/VB4QyJusUZ,45,@BBCWorld,BBCWorld
46,-0.13901489361702127,0.8151914893617022,0.13482978723404254,0.049978723404255326,Tue Sep 11 14:12:53 +0000 2018,"""You just need to endure catching fire and keep walking.""

Why torch-bearing can be a risky business in a North Kor… https://t.co/EGHCT8Zy4R",46,@BBCWorld,BBCWorld
47,-0.13611875,0.8190416666666668,0.13202083333333334,0.0489375,Tue Sep 11 13:51:16 +0000 2018,Trump marks 9/11 anniversary at Pennsylvania memorial https://t.co/V5YYWEDTQM,47,@BBCWorld,BBCWorld
48,-0.13072857142857144,0.813387755102041,0.13324489795918368,0.05336734693877551,Tue Sep 11 13:24:49 +0000 2018,RT @BBCNews: Mac Miller death: Charlie Puth 'tried to help' rapper get clean https://t.co/gMr3ANTQaK,48,@BBCWorld,BBCWorld
49,-0.13692200000000002,0.8122400000000002,0.13546,0.052300000000000006,Tue Sep 11 13:24:28 +0000 2018,US-backed force attacks last IS pocket in eastern Syria https://t.co/6PlXhPpEc3,49,@BBCWorld,BBCWorld
50,-0.13674705882352942,0.8082941176470589,0.13725490196078433,0.054450980392156866,Tue Sep 11 12:57:13 +0000 2018,Remembrance ceremony at Ground Zero in New York to honour victims of the 9/11 attacks https://t.co/LfFj7UOWsS… https://t.co/iF46SSH5R6,50,@BBCWorld,BBCWorld
51,-0.1341173076923077,0.8119807692307693,0.1346153846153846,0.053403846153846156,Tue Sep 11 12:55:05 +0000 2018,"RT @BBCWorld: 'Crack pipe' vending machines found in Long Island, NY https://t.co/bGFRB86eS3",51,@BBCWorld,BBCWorld
52,-0.1315867924528302,0.8155283018867926,0.1320754716981132,0.052396226415094345,Tue Sep 11 12:54:43 +0000 2018,"'Crack pipe' vending machines found in Long Island, NY https://t.co/bGFRB86eS3",52,@BBCWorld,BBCWorld
53,-0.13919259259259262,0.8121296296296298,0.13644444444444445,0.05142592592592593,Tue Sep 11 12:31:57 +0000 2018,Speeding India bus plunge kills 53 https://t.co/ORNYFnGaOp,53,@BBCWorld,BBCWorld
54,-0.14204363636363637,0.8062,0.13876363636363637,0.05503636363636364,Tue Sep 11 12:20:48 +0000 2018,Marcelo: Real Madrid defender 'admits tax fraud' in Spain https://t.co/DRNyTZZBRJ,54,@BBCWorld,BBCWorld
55,-0.13950714285714286,0.8096607142857143,0.1362857142857143,0.05405357142857143,Tue Sep 11 11:44:10 +0000 2018,Kulsoom Nawaz: Ex-Pakistan PM's wife dies in London https://t.co/CmyhXNEU5C,55,@BBCWorld,BBCWorld
56,-0.13705964912280702,0.8130000000000001,0.13389473684210526,0.05310526315789474,Tue Sep 11 11:10:32 +0000 2018,😳 https://t.co/0fxu5t7Yax,56,@BBCWorld,BBCWorld
57,-0.12371551724137932,0.8136551724137931,0.13158620689655173,0.054758620689655174,Tue Sep 11 10:50:42 +0000 2018,"RT @BBCNews: Pup stars 🎬🐶🌟

What does it take to get your dog in the movies?

https://t.co/HsDfX2nP16

(Tap your screen for best view on mo…",57,@BBCWorld,BBCWorld
58,-0.11902372881355933,0.8104576271186441,0.13218644067796612,0.05735593220338984,Tue Sep 11 10:48:04 +0000 2018,"Hurricane Florence: President Trump issues warning as storm strengthens

https://t.co/0AQbYuh3ZC https://t.co/pMz6YV0oNh",58,@BBCWorld,BBCWorld
59,-0.124985,0.8085,0.1351,0.056400000000000006,Tue Sep 11 10:46:37 +0000 2018,Didi Chuxing: China carpool service suspended indefinitely https://t.co/zwLuAKBrDO,59,@BBCWorld,BBCWorld
60,-0.11845737704918033,0.8092786885245902,0.13372131147540983,0.057,Tue Sep 11 15:11:47 +0000 2018,"RT @VictoriaLIVE: She didn’t win the Miss America pageant, but stole the show with this 8-second statement:

“From the state with 84% of th…",60,@BBCWorld,BBCWorld
61,-0.11654677419354839,0.8123548387096774,0.13156451612903225,0.05608064516129033,Tue Sep 11 15:01:11 +0000 2018,"RT @bbctms: Rishabh Pant is the youngest man to score a Test century for India since Ajay Ratra did it back in May 2002. 

Live: 
📻📱💻🎥 http…",61,@BBCWorld,BBCWorld
62,-0.1146968253968254,0.8153333333333334,0.12947619047619047,0.05519047619047619,Tue Sep 11 14:59:02 +0000 2018,"""This field is now a monument to American defiance... America will never ever submit to tyranny"" - President Trump… https://t.co/VgnzZ4gySS",62,@BBCWorld,BBCWorld
63,-0.114509375,0.815609375,0.13006250000000003,0.054328125000000005,Tue Sep 11 14:58:35 +0000 2018,Russia's Navalny challenged to a duel by Zolotov https://t.co/3rMY5SuObE,63,@BBCWorld,BBCWorld
64,-0.12352153846153846,0.8148461538461538,0.1316615384615385,0.0534923076923077,Tue Sep 11 14:57:03 +0000 2018,"“We grieve together for every mother and father, sister and brother, son and daughter who was stolen from us” - Pre… https://t.co/eHmjkBRc46",64,@BBCWorld,BBCWorld
65,-0.12938636363636363,0.8132272727272727,0.13409090909090912,0.052681818181818184,Tue Sep 11 14:21:38 +0000 2018,US official: Venezuela government 'steals from food programme' https://t.co/VB4QyJusUZ,65,@BBCWorld,BBCWorld
66,-0.1348268656716418,0.8131940298507462,0.13491044776119404,0.05189552238805971,Tue Sep 11 14:12:53 +0000 2018,"""You just need to endure catching fire and keep walking.""

Why torch-bearing can be a risky business in a North Kor… https://t.co/EGHCT8Zy4R",66,@BBCWorld,BBCWorld
67,-0.13284411764705883,0.8159411764705882,0.1329264705882353,0.051132352941176476,Tue Sep 11 13:51:16 +0000 2018,Trump marks 9/11 anniversary at Pennsylvania memorial https://t.co/V5YYWEDTQM,67,@BBCWorld,BBCWorld
68,-0.12906376811594203,0.8119710144927536,0.1337826086956522,0.05424637681159421,Tue Sep 11 13:24:49 +0000 2018,RT @BBCNews: Mac Miller death: Charlie Puth 'tried to help' rapper get clean https://t.co/gMr3ANTQaK,68,@BBCWorld,BBCWorld
69,-0.1335114285714286,0.8111714285714285,0.13535714285714287,0.05347142857142858,Tue Sep 11 13:24:28 +0000 2018,US-backed force attacks last IS pocket in eastern Syria https://t.co/6PlXhPpEc3,69,@BBCWorld,BBCWorld
70,-0.13343380281690143,0.8083521126760562,0.13664788732394367,0.055,Tue Sep 11 12:57:13 +0000 2018,Remembrance ceremony at Ground Zero in New York to honour victims of the 9/11 attacks https://t.co/LfFj7UOWsS… https://t.co/iF46SSH5R6,70,@BBCWorld,BBCWorld
71,-0.13158055555555556,0.8110138888888889,0.13475000000000004,0.05423611111111112,Tue Sep 11 12:55:05 +0000 2018,"RT @BBCWorld: 'Crack pipe' vending machines found in Long Island, NY https://t.co/bGFRB86eS3",71,@BBCWorld,BBCWorld
72,-0.12977808219178083,0.8136027397260274,0.13290410958904111,0.05349315068493151,Tue Sep 11 12:54:43 +0000 2018,"'Crack pipe' vending machines found in Long Island, NY https://t.co/bGFRB86eS3",72,@BBCWorld,BBCWorld
